b'Am I the only one #angry about this!!!'

b'#ANGRY #KITTY IS ANGRY&gt;. https://t.co/N6D76Uw9PQ'

b'RT @abbelos_: this page still exists im sorry im just busy w schoolwork\n.\n.\n.\n#art #artwork #drawing #drawings #doodle #doodles #doodling #...'

b'#NavjotSinghSidhu #Angry #Interview With #Indian #Journalist - #Sidhu Letter To #SushmaSuraj https://t.co/AX4Tz5jtZ4'

b'RT @abbelos_: this page still exists im sorry im just busy w schoolwork\n.\n.\n.\n#art #artwork #drawing #drawings #doodle #doodles #doodling #...'

b'RT @RoyalGoobs: I think Humba Wumba put something in her pool o.0\n\nhttps://t.co/Y15m4q50Or   \n\n#Rage #angry #Mad #LetsPlay #banjokazooie #b...'

b'RT @abbelos_: this page still exists im sorry im just busy w schoolwork\n.\n.\n.\n#art #artwork #drawing #drawings #doodle #doodles #doodling #...'

b'But angry....they got the #Angry down\n#WalkAway https://t.co/Bef4b221Zb'

"b""I'm not crying cos I'm sad I'm crying cos it's illegal to kill you \n.\n.\n.\n.\n.\n.\n.\n..\n#upsetquotes #redeyez #angry... https://t.co/tMmbjCT0HU"""

"b""A friend's daughter got sick from an @Uber_Canada driver's stop &amp; go driving only to have him refuse to pull over,... https://t.co/CSwCYDRtn0"""

"b'High Quality #Hoodie - Art Pictures are Expertly Printed on Front or Back, Available in a Huge Range of Colors, Siz... https://t.co/wtnJ171yI8'"

"b'Only three #types of #people tell the #truth: #Kids , the #drunk and the #angry !'"

b'RT @Clara_Gtz: We hope that after putting the claim online @easyJet for the delay do not give us problems and compensate for the bad treatm...'

b'#Baby I didnt mean to turn it #bad\nI know youre3 #feeling #angry just a #tad\nCause I took #you through the drive-t... https://t.co/od3m2q4Vpn'

b'@loosewomen @NolanColeen And ...@loosewomen  stop making fun of it #angry'

b'THE HARDEST GAME YOU WILL EVER PLAY #indiegame #bird #heavy #hard #game #animals #flappy #angry #gamers\nhttps://t.co/bFHN1HQE3r'

"b'Within hours of me trying and failing so far... to get 3 Priority tickets for my 11yr old daughter to see her idol,... https://t.co/RmR0kDvMqz'"

b'RT @Clara_Gtz: We hope that after putting the claim online @easyJet for the delay do not give us problems and compensate for the bad treatm...'

b'We hope that after putting the claim online @easyJet for the delay do not give us problems and compensate for the b... https://t.co/wcig6fGCUn'

"b""RT @TweeterRuler: #Angry master he need  to take angry management classes .. he doesn't know how to speak with others and his #insecurekaus..."""

"b'#Russia is co-opting #angry #young #men: Fight clubs, neo-#Nazi #soccer #hooligans and #motorcycle #gangs serve as... https://t.co/jJMce0nm3h'"

b'I would either be #angry screaming with all going on right now or scared of being captured for nothing and... https://t.co/b1JNofRaxV'

b'is a very   https://t.co/fQdHrQtoEE  #Angry #sting #hard #game #crazy #tap #games'

b'Had a great time working with Jason for some really interesting images!\n.\n.\n.\n\n.\n#photostudio #profotoglobal... https://t.co/BpUKPYbQ4P'

b'RT @The_PartnerShop: Fiesty Pets in Claires Accessories with Glenda Gitterpoop and Sir Growls-A-Lot @ClairesEurope @Jazwares #FiestyPets #...'

b'@SP_EnergyPeople ope someone is going to return my call after the line dropped out!!! Why should I call again alrea... https://t.co/7AB01CECJI'

b'@ScottishPower hope someone is going to return my call after the line dropped out!!! Why should I call again alread... https://t.co/gElkWx9uGu'

b'https://t.co/KBFY3SVydp is FB reaction is powerful?\n#Facebook #image #likes #reactions #socailmedia #viral... https://t.co/t8EQ7M8Dza'

"b'@MonicaHesse This sums up why these things happen. \nHE got angry that she dared to reject his advances, he felt he... https://t.co/K1c61zbnuo'"

"b'@landg_uk #Customers beware, if this #company and @landg_group treat all their customers like they have treated me... https://t.co/PPv9nwTKf7'"

b'ANGER\n#anger #angry #draw #drawing #yellow #realistic #portrait #Bubblegum #strong #myart #copicciao #face #emotion... https://t.co/gagyq3SZ3L'

"b'#WednesdayMotivation Your being chased by a #angry #mob with nasty #intentions, how #motivated are you now?  https://t.co/YYQl2QR4fu'"

"b'https://t.co/k0XOddZGuJ: Despite strong #economy, many Americans #struggling to get by. Top #problem?... https://t.co/wvvtBOZqAo'"

"b'#Driving can sometimes bring out the worst in people, but what causes you to get #angry behind the wheel? Tell us b... https://t.co/Ri2maFZ65X'"

"b""@TfL absolutely #angry trying to get off the bus with my 5 year old and the bus driver didn't think to check if any... https://t.co/EVqDkeFPB1"""

"b""I'm still #mad at him for it ... That's really not #nice \n\n#smartass #matcha #angry #english #superfood... https://t.co/Aq4FmyPoMD"""

b'@ManUtd @adidasfootball If you guys ran out of ideas you could have asked the fans who are into designing to submit... https://t.co/okXVH8UTOr'

b'Seriously @PsittacusSys? 4 days notice on removing an integral part of the service which was one of your main selli... https://t.co/W7MCMiHMsu'

b'#fighting #angry #angerissues #angermanagement #angers #fighting free info @ https://t.co/V3qGvvOZjm #arguing... https://t.co/WHa8kbfxDK'

"b'Thanks for the nice wishes.  Unfortunately you cannot wish misery away,  and you seem delusional for trying. #fuworld #angry'"

b'#889 #angry #pain #sad\n\nAm I the only one who hates these weird-looking yellow chairs?? Seriously they are everywhe... https://t.co/H3cj8kTEnf'

b'Absolutely ridiculous @GWRHelp the 8am train is so delayed we move to catch the next train only to have it leave on... https://t.co/HHJd3w7O9M'

"b""#Brexit would #win by #BIGGER #margin: Jeremy Vine says #Brits #angry we haven't #left #EU yet  -  https://t.co/KnKcvzhohY via @YouTube"""

b'Just for today...\n\n... do not be angry\n... do not worry\n... be grateful\n... work hard\n... be kind to others.\n\nEnjoy... https://t.co/nkjJOmj4NC'

b'RT @iamvagabond: Every minute You are #angry You lose 60 seconds of #Happiness\n\nChoose wisely the things you want to be angry at...\n \n#Phot...'

b'Sometimes you could be:\n#serious \n#sad \n#angry \n#disappointed \n#frustrated \n#broken\n#happy \nSometimes we have those... https://t.co/6AGrBblB3K'

b'@Militarydotcom Did we send them a really #ANGRY letter? What we need to do is put 6 holes in Bashar al-Assads head!'

b'#Download #Angry Bird For #Iphone - https://t.co/4M8QCGlK0y https://t.co/27PEpcjGSC'

"b""RT @TweeterRuler: #Angry master he need  to take angry management classes .. he doesn't know how to speak with others and his #insecurekaus..."""

b'Lots of emotions currently as it pertains to my situation. Glad I have my cannabis vape pen and live in Colorado. L... https://t.co/o8epKHCXXx'

b'#Everyday the #Corrupt #Traitors stay in #control makes me #angry! https://t.co/0UR1EUXabB'

"b""My mother is covered with #skincancer \nSo many different treatments that cost so much even after #insurance She's p... https://t.co/KHkE2C2po4"""

"b'#Shook #Angry May 4, 1854. President Franklin Pierce VETOED the Bill for the Benefit of the Indigent Insane!!! This... https://t.co/o0mCtd1xeH'"

b'Hey @DENAirport why would all of your signs for Delta point me in the direction of terminal EAST when Delta baggage... https://t.co/avZ6lrf7LP'

b'One day I woke up with this anger inside of me and I dont think it will go away. What the fuck happened. \n#Angry #RealQuestions'

b'RT @iamvagabond: Every minute You are #angry You lose 60 seconds of #Happiness\n\nChoose wisely the things you want to be angry at...\n \n#Phot...'

b'RT @AwkAweLadyAya: You said 4hrs left literally 4hrs ago!  dont play with me Destiny 2. #girlgamer #ps4 #nerdygamer #gaymer #destiny2 #qu...'

"b'Activities for #Angry, #Worried Kids https://t.co/ywEeBgMRBn https://t.co/aznbzyhyQD'"

b'You said 4hrs left literally 4hrs ago!  dont play with me Destiny 2. #girlgamer #ps4 #nerdygamer #gaymer... https://t.co/gleLowJJH9'

b'Aggressive Behaviour In Toddlers: How To Deal With An Angry Toddler\nhttps://t.co/cYPgD2bgRN\n#Parents #Howto #Deal... https://t.co/DhyjxVrCV1'

b'Nunavut hunter killed by polar bear and cub | CBC News https://t.co/MDyBuOYe3k.  #angry'

b'#angry!  The Department of #Agriculture has a world class economics research institution ... and is throwing it away https://t.co/JLzn6hgEk9'

b'Looks like my #gf is about to break up with me... \ni feel #empty #sad #angry #mad #worthless . . .'

b'RT @VancityReynolds: Its the 4 year Leak-iversery. UPDATE: Still searching for the bastard who leaked our test footage onto the internet c...'

b'#888 #angry #guild #pain #revenge #sad #thanks #truth #village #waapa\n\nI feel great sorrow and sadness walking amon... https://t.co/yRjLH8DiCs'

